 ,EUI,data,time,,,,,,,,,,
221,deveui,22.93,2019/10/11 5:12,,,,,,,,,,
222,deveui,22.87,2019/10/11 5:17,,,,,,,,,,
223,deveui,22.93,2019/10/11 5:22,,,,,,,,,,
224,deveui,22.87,2019/10/11 5:27,,,,,,,,,,
227,deveui,22.87,2019/10/11 5:42,,,,,,,,,,
228,deveui,22.87,2019/10/11 5:47,,,,,,,,,,
229,deveui,22.87,2019/10/11 5:52,,,,,,,,,,
231,deveui,22.87,2019/10/11 6:02,,,,,,,,,,
232,deveui,22.93,2019/10/11 6:07,,,,,,,,,,
233,deveui,22.93,2019/10/11 6:13,,,,,,,,,,
234,deveui,23,2019/10/11 6:18,,,,,,,,,,
235,deveui,23,2019/10/11 6:23,,,,,,,,,,
236,deveui,23.06,2019/10/11 6:28,,,,,,,,,,
237,deveui,23.06,2019/10/11 6:33,,,,,,,,,,
238,deveui,23.12,2019/10/11 6:38,,,,,,,,,,
239,deveui,23.12,2019/10/11 6:43,,,,,,,,,,
240,deveui,23.12,2019/10/11 6:48,,,,,,,,,,
241,deveui,23.31,2019/10/11 6:53,,,,,,,,,,
242,deveui,23.43,2019/10/11 6:58,,,,,,,,,,
243,deveui,23.43,2019/10/11 7:03,,,,,,,,,,
244,deveui,23.5,2019/10/11 7:08,,,,,,,,,,
245,deveui,23.68,2019/10/11 7:13,,,,,,,,,,
246,deveui,23.81,2019/10/11 7:18,,,,,,,,,,
247,deveui,24.06,2019/10/11 7:23,,,,,,,,,,
248,deveui,24.31,2019/10/11 7:28,,,,,,,,,,
249,deveui,24.25,2019/10/11 7:33,,,,,,,,,,
250,deveui,24.25,2019/10/11 7:38,,,,,,,,,,
251,deveui,24.37,2019/10/11 7:44,,,,,,,,,,
252,deveui,24.43,2019/10/11 7:49,,,,,,,,,,
253,deveui,24.5,2019/10/11 7:54,,,,,,,,,,
254,deveui,24.37,2019/10/11 7:59,,,,,,,,,,
255,deveui,24.37,2019/10/11 8:04,,,,,,,,,,
256,deveui,24.37,2019/10/11 8:09,,,,,,,,,,
257,deveui,24.31,2019/10/11 8:14,,,,,,,,,,
258,deveui,24.31,2019/10/11 8:19,,,,,,,,,,
259,deveui,24.31,2019/10/11 8:24,,,,,,,,,,
261,deveui,24.43,2019/10/11 8:34,,,,,,,,,,
262,deveui,24.56,2019/10/11 8:39,,,,,,,,,,
264,deveui,25.06,2019/10/11 8:49,,,,,,,,,,
265,deveui,25.06,2019/10/11 8:54,,,,,,,,,,
266,deveui,25.25,2019/10/11 8:59,,,,,,,,,,
267,deveui,25,2019/10/11 9:04,,,,,,,,,,
